"","mod_0 vs mod_1","mod_0 vs mod_2","mod_0 vs mod_3","mod_0 vs mod_4","mod_0 vs mod_5","mod_0 vs mod_6","mod_0 vs mod_7","mod_0 vs mod_8","mod_0 vs mod_9","mod_1 vs mod_2","mod_1 vs mod_3","mod_1 vs mod_4","mod_1 vs mod_5","mod_1 vs mod_6","mod_1 vs mod_7","mod_1 vs mod_8","mod_1 vs mod_9","mod_2 vs mod_3","mod_2 vs mod_4","mod_2 vs mod_5","mod_2 vs mod_6","mod_2 vs mod_7","mod_2 vs mod_8","mod_2 vs mod_9","mod_3 vs mod_4","mod_3 vs mod_5","mod_3 vs mod_6","mod_3 vs mod_7","mod_3 vs mod_8","mod_3 vs mod_9","mod_4 vs mod_5","mod_4 vs mod_6","mod_4 vs mod_7","mod_4 vs mod_8","mod_4 vs mod_9","mod_5 vs mod_6","mod_5 vs mod_7","mod_5 vs mod_8","mod_5 vs mod_9","mod_6 vs mod_7","mod_6 vs mod_8","mod_6 vs mod_9","mod_7 vs mod_8","mod_7 vs mod_9","mod_8 vs mod_9"
"chr0:0-3300",0.112630329834542,0.261710338513365,0.208652116870572,0.127217223283942,0.215604420001097,0.17805886946526,0.123269145761975,0.276489223620332,0.226168334810125,0.153858063340926,0.146660038848505,0.0940704446614751,0.219730328431539,0.182753870688642,0.0938312813199696,0.247882309425151,0.168158848978464,0.226205192453695,0.118235049482399,0.128864730894003,0.132358611189604,0.178875358157726,0.223046852606153,0.187705150981037,0.190138441428891,0.14873643986445,0.0812147277443767,0.108144195292273,0.14974063459007,0.0688740834624114,0.22053130552393,0.199484940714446,0.2526966170813,0.230744091971574,0.213872248228334,0.14072783430774,0.196907058371938,0.177250564676634,0.0827186287559926,0.148760187689153,0.224823240119339,0.0768602442471519,0.230120134881584,0.17783588492497,0.17922563549925
"chr1:0-3300",0.193296828689787,0.127179609505446,0.0959484955432157,0.145335062157991,0.12799370272262,0.23749734740427,0.28447255553014,0.0961763082454801,0.16509246002844,0.220063811591432,0.0388694427611728,0.107060055647077,0.0749669388885186,0.0506435741115087,0.228444259668943,0.0998447221628203,0.166449406015053,0.130790760557523,0.1982534878995,0.199183334455033,0.230822004727637,0.236399709773623,0.143984257524421,0.199783234032845,0.170097912546994,0.157987304130139,0.211485750523579,0.248052510772169,0.0885114211318247,0.207784619592209,0.121811090979878,0.115554327130518,0.117394798233756,0.15423956210131,0.200294330044171,0.174528137435344,0.208496073261425,0.209778451995981,0.132811642068511,0.10391602500783,0.235444329885623,0.16951761579647,0.361485389384262,0.201837208013588,0.191320677461383
"chr2:0-3300",0.153661630159351,0.150671296436022,0.130553212825968,0.0809020352563923,0.19709000311368,0.234882863368,0.241375284604304,0.156689069543493,0.230315792581291,0.103127198574076,0.091362029705976,0.105871701533501,0.128903691104827,0.205637176454444,0.121730569271604,0.0879164407052222,0.181318020712913,0.103429630530381,0.120084943658868,0.0720851810324784,0.183439673819182,0.149699967626766,0.0737712748372238,0.179091171214162,0.0871068523964404,0.1062762273632,0.233842075664498,0.300164200963273,0.137649268106186,0.172660122541092,0.111900775861953,0.157916776144731,0.093481142080301,0.103920000818814,0.138446746788754,0.190093667615311,0.170541866502267,0.160220089691037,0.204736982413202,0.205506959714721,0.106195430088748,0.249590790983,0.137925809338016,0.201341831485073,0.0957758039268237
"chr3:0-3300",0.0505139340283598,0.174239215364839,0.157924430257407,0.168652856955289,0.110585588766782,0.294711318575851,0.214721052834287,0.09931885843876,0.146166505831522,0.127626934668489,0.138330767794224,0.101289689739124,0.139118311475762,0.263126339265876,0.173231707593979,0.168872238787441,0.0962198558914172,0.250141718240224,0.187411959278723,0.231081029063979,0.316908671561266,0.198069279628866,0.133324017952602,0.138222255204052,0.145245929902276,0.0934332159357182,0.295027671984543,0.258508832022399,0.109202988917668,0.119117532892899,0.075955403095569,0.235657038557475,0.168663231605338,0.197728206139317,0.0937942159383517,0.242171514361615,0.153550347327994,0.1308727094751,0.0902111039964023,0.170912629918162,0.317454826772893,0.163192352176065,0.277967264113503,0.166818803191866,0.147512208360376
"chr4:0-3300",0.172968972471637,0.149671481097058,0.200240730433872,0.200078356727244,0.0818115051700138,0.1454063125539,0.138065150621005,0.148849072525391,0.127976198477415,0.135530757412237,0.122226837416503,0.141617222812567,0.153648301274983,0.182166145358372,0.148262846901403,0.159006521591625,0.119904001669804,0.187016382289587,0.0917270170176177,0.175967613536599,0.0523858240710557,0.12731223244477,0.130319431567787,0.173978192950099,0.159717513082499,0.312979813373099,0.159027948195428,0.207944921269784,0.0948492770994729,0.238218878012835,0.120214968174486,0.174075130834125,0.135272937230504,0.128112247002808,0.111395616162848,0.234442011432066,0.120040613813139,0.200418952949988,0.0999500295298606,0.116963173474061,0.127603803843239,0.119227749871232,0.233216709463977,0.12597118606951,0.316585545146056
"chr5:0-3300",0.20658300520369,0.186410257223867,0.151804402023837,0.0771380572646001,0.217208232937915,0.155439571931414,0.127726020299613,0.149280301825926,0.174775918790954,0.121552087821335,0.158462427295872,0.115450644046037,0.120194142475909,0.0767965846019759,0.105214890125887,0.0921266796932566,0.115256349812708,0.0687559761383661,0.181860552659352,0.217431878316796,0.145205017442316,0.171758668813722,0.180885134257697,0.129833708453796,0.15082408416595,0.171757670463161,0.161996182279451,0.175171036062956,0.167206390459645,0.156393481790122,0.122504261161695,0.127795636734653,0.0707541405542465,0.0913947726067437,0.125500546377407,0.0957905507018398,0.0545568125355741,0.151318338809565,0.104457374129374,0.12359043976577,0.146322571674215,0.0493382635957034,0.107536845727486,0.0510165065067853,0.112608581900731
"chr6:0-3300",0.123261530486801,0.153943146725777,0.0966909476837242,0.244895961149265,0.104177633424419,0.0893935900614815,0.111642836045968,0.104848995107418,0.0938058227953527,0.221908937731859,0.212510536786114,0.165123978116318,0.208726122250398,0.196181301376987,0.178108676878638,0.164482258462642,0.126462614221489,0.089833653614746,0.292126220375824,0.0758360193156519,0.0941338101814891,0.12134053979831,0.168296191537435,0.199116169176986,0.22538003596195,0.0966865543627405,0.0967125060625116,0.100245219691249,0.0583714824111121,0.069440623065671,0.175103828108017,0.186265846905705,0.240454443552244,0.234320653287323,0.112657787284839,0.15167385432453,0.119267824013779,0.0944773036567198,0.204955908930482,0.0446855342571311,0.0547611323289258,0.157217127783121,0.0483722967237402,0.152843147450695,0.0926690724846097
"chr7:0-3300",0.164114284311672,0.151048263303817,0.102844667219375,0.0939662828394204,0.144129500911005,0.229289772669473,0.161224714462499,0.125597415110797,0.223649482009329,0.0600424793722048,0.161682866110082,0.0614374035563149,0.0783664749408274,0.209347954399221,0.165000562072904,0.0988390771239701,0.30307107026705,0.133117434936598,0.0388985217433084,0.116446248750141,0.159887359802768,0.156373559341462,0.116855491150805,0.264502237748556,0.134103588760362,0.193604797810237,0.22976542926998,0.127053376778486,0.228350034476507,0.181630536697493,0.0861265815503467,0.194943680500102,0.105921539123265,0.0881839741683205,0.206575963736382,0.0867493475960894,0.133397830583205,0.155200016218345,0.250210948869768,0.171599048770351,0.151718808033545,0.210119654337611,0.105792769365754,0.246001690551019,0.28053485661437
"chr8:0-3300",0.176732114211525,0.166491139525949,0.174977846039724,0.11997266831624,0.206360578085462,0.22281040028652,0.144422499621012,0.227634057971047,0.202260287654968,0.248969180131922,0.190235538007323,0.121265318838829,0.148376898859391,0.155834672253471,0.131039661788717,0.193593953423388,0.0932008639206666,0.185914554772647,0.229197495555172,0.256206188242916,0.0728345958881004,0.139601616498536,0.146226283211779,0.238072038368747,0.0603829045462689,0.0852023279391105,0.135479446578712,0.110379025609459,0.179176870019075,0.184473855266343,0.106839768793775,0.163048237610499,0.0900124699469952,0.201308240853114,0.225170315308562,0.13063530103019,0.177407852444553,0.174321596291116,0.168327958700687,0.0887339599006966,0.103131043564844,0.0511010491153066,0.0332324070476944,0.0931621277078152,0.130767432858927
"chr9:0-3300",0.108504180440391,0.129995219241894,0.214889385446882,0.175731581572126,0.161799689014968,0.119433905432207,0.200083307022828,0.177013564940172,0.124914025742072,0.204481990363993,0.189604615425857,0.358894096385926,0.166887274727246,0.324249384087927,0.127811602894627,0.149425604698627,0.151112197500406,0.0559042694630833,0.28983634254954,0.168595486345536,0.0786452936119265,0.185297406648842,0.161129405088719,0.124963352667722,0.276129118112736,0.102255443350376,0.158116140481716,0.119676769753047,0.168189792318173,0.217052138891413,0.277995550238501,0.251468163992727,0.283894806396176,0.187142874387136,0.302182575231136,0.202195560664638,0.124940342448821,0.202983994980697,0.120413402963563,0.19580964643344,0.222322498336946,0.22482517577878,0.185196948021131,0.0993002685433376,0.158896458730262
