"","mod_0 vs mod_1","mod_0 vs mod_2","mod_0 vs mod_3","mod_0 vs mod_4","mod_0 vs mod_5","mod_0 vs mod_6","mod_0 vs mod_7","mod_0 vs mod_8","mod_0 vs mod_9","mod_1 vs mod_2","mod_1 vs mod_3","mod_1 vs mod_4","mod_1 vs mod_5","mod_1 vs mod_6","mod_1 vs mod_7","mod_1 vs mod_8","mod_1 vs mod_9","mod_2 vs mod_3","mod_2 vs mod_4","mod_2 vs mod_5","mod_2 vs mod_6","mod_2 vs mod_7","mod_2 vs mod_8","mod_2 vs mod_9","mod_3 vs mod_4","mod_3 vs mod_5","mod_3 vs mod_6","mod_3 vs mod_7","mod_3 vs mod_8","mod_3 vs mod_9","mod_4 vs mod_5","mod_4 vs mod_6","mod_4 vs mod_7","mod_4 vs mod_8","mod_4 vs mod_9","mod_5 vs mod_6","mod_5 vs mod_7","mod_5 vs mod_8","mod_5 vs mod_9","mod_6 vs mod_7","mod_6 vs mod_8","mod_6 vs mod_9","mod_7 vs mod_8","mod_7 vs mod_9","mod_8 vs mod_9"
"chr0:0-3300",0.0910090384376775,0.155800325787425,0.196204632708084,0.228430285708056,0.189822605694154,0.238370888372318,0.0932527193460007,0.203420957125332,0.188727308978389,0.198831538485272,0.1220917402958,0.270411243506498,0.162309111686466,0.126920843258445,0.0698050934512114,0.272485904195649,0.202005766294837,0.0761635520633183,0.173827508332835,0.104404114424828,0.0946244717183302,0.108538295639384,0.10508273362275,0.0407234063708439,0.144276215807379,0.128566279862455,0.130459280804575,0.115408208855488,0.0718943092988503,0.097205306936239,0.128269385092797,0.0905325028878355,0.128270740730004,0.0798010640632882,0.187678212193782,0.0799169667487753,0.0225348515407371,0.131776875973351,0.10435668834995,0.09290514580434,0.0855422725791183,0.0907900029448457,0.243632197166605,0.100690617951291,0.0981083345569083
"chr1:0-3300",0.113982897591948,0.0709444556529078,0.313868047515928,0.0933173972695826,0.192161461390611,0.098399607008958,0.155128168883504,0.0747562919325495,0.198080015903233,0.151774118539484,0.226168550172433,0.109615604735168,0.201671705035205,0.11527080689739,0.148529129020373,0.105147686203935,0.131688628421157,0.179148871854055,0.108324159641245,0.1910244590113,0.18753916759634,0.083522387428507,0.101033087931496,0.104361000657283,0.147670494787507,0.130295758493039,0.160661825017351,0.153923602133198,0.228121326831585,0.18061163185839,0.0914011646679346,0.0804234960808042,0.0960663333928534,0.133020150653439,0.11009906320028,0.174595178774014,0.146130124472185,0.171828445465575,0.233023258748907,0.14467841253552,0.091961970331443,0.14253000317746,0.124264097598185,0.0776049437703857,0.0852799071185991
"chr2:0-3300",0.145574975631841,0.294074594512741,0.194651865796251,0.141459370826518,0.201798717654995,0.118698105566492,0.141593388773179,0.247028722447067,0.099305507232008,0.159311607468836,0.0754015553765404,0.087664793861201,0.108602924975932,0.128238661869136,0.152551064807971,0.201064864022802,0.0952689166890266,0.0752994849853895,0.253474770627025,0.0898199875919041,0.172258383724951,0.233346845839356,0.265640649107962,0.136209104789527,0.185155514230443,0.141669122338234,0.142579901446559,0.202193004966934,0.273015035421076,0.217342663043899,0.295353868905771,0.158938321211212,0.0961618689227728,0.149722769481027,0.121215707319618,0.138968476279421,0.134755202972352,0.17712975555449,0.234973403774818,0.0803342833073554,0.222744014524683,0.211934296687487,0.119586203550957,0.0726031385743867,0.174475162177278
"chr3:0-3300",0.17378838755981,0.184859240822357,0.132534184439104,0.195714789203183,0.13326179843358,0.202391019945185,0.104163193076085,0.104331858382358,0.149820625869765,0.109340622771799,0.164895225022146,0.153750139860849,0.055297882292642,0.167531434563021,0.134155280459308,0.104782683103908,0.281149942439128,0.101345845833041,0.193776047127763,0.137078671538235,0.0790786400096637,0.198250086190635,0.0698756186836704,0.0733073586141421,0.183217763572048,0.0738956913795105,0.190352377501558,0.109673843021,0.182858379181849,0.163220013545208,0.159973173197428,0.196927803870395,0.102417083804859,0.135010566979533,0.157511312363363,0.144133421885609,0.122687508552805,0.147388102107247,0.123880146992184,0.184426898553247,0.090769281194322,0.187427699680293,0.122416870576016,0.119240508000658,0.134733820767317
"chr4:0-3300",0.107029987903891,0.149738774795281,0.0896559566043749,0.180404212045181,0.166902832616528,0.181511360955554,0.10126010736779,0.143707122742785,0.186667803958297,0.139302256749087,0.086266997166019,0.22323082185414,0.205691053045044,0.105328010966777,0.20519542750748,0.143054375817029,0.246344729213239,0.113364196421124,0.173229949258688,0.211685763073455,0.0806877043957011,0.0622993779855758,0.116716975873447,0.114900626535176,0.175798405331058,0.213291189828807,0.100967325160953,0.147554360569397,0.179513598316557,0.135784156894007,0.121310167934422,0.144158660367536,0.069375406810694,0.132954441276755,0.17592755703903,0.17346019100457,0.0581248041221581,0.114209657260378,0.304549223139407,0.19641013090188,0.111468615086983,0.128082001599777,0.143259731146079,0.254553432735641,0.185088580742127
"chr5:0-3300",0.170734317787238,0.254291542429453,0.216738645890478,0.11078600123111,0.346843295926118,0.193874520854408,0.191895816604902,0.179257616025043,0.148724062965639,0.0759032524898052,0.114982714773517,0.288525637481947,0.190199448496772,0.201992687902012,0.121752678493655,0.105781463980496,0.201274384251358,0.0880717473446104,0.2219341122229,0.180235416124918,0.0924443023581514,0.136520565042654,0.109571430097131,0.172948151385989,0.1854809828186,0.157511120201885,0.194164112063951,0.179877512218367,0.0941740219011427,0.137181627988937,0.143562956874132,0.232132449156087,0.226743917452298,0.253059832004581,0.134634206911845,0.117476043042502,0.15576569646571,0.180297353620527,0.0783195570535613,0.182199360861814,0.0907671918101141,0.1216094478472,0.131761108212972,0.117384690102336,0.134415839264436
"chr6:0-3300",0.103433823285053,0.212939502999806,0.236350525721939,0.127400411220487,0.188460954015967,0.162883390527777,0.122449949430094,0.194660760680061,0.0843903837377631,0.178761467402906,0.218243111207192,0.0749460196909716,0.17154718795437,0.156811774815023,0.110327368514731,0.179537080627318,0.113835931082101,0.121425789005988,0.202575160540771,0.14191067809125,0.084230047697629,0.144919612038235,0.126642001599929,0.213838526950928,0.219610704106216,0.0808814120171356,0.0742632669958186,0.160574307250681,0.214763902379346,0.209244503661074,0.184927085283732,0.0504733806287984,0.18038845223095,0.207383625348407,0.150081063680495,0.115268602645979,0.197665172745569,0.117069391318772,0.200978590908717,0.134301218895719,0.13110837608676,0.226947932672669,0.138778256694067,0.159746310780646,0.206945251491507
"chr7:0-3300",0.151094023277438,0.138058338475392,0.0638031276638142,0.0970566989928115,0.155684885388445,0.0998876800811648,0.114404077909772,0.14318447546756,0.143275231177126,0.140379061159172,0.17611077021663,0.14267550606633,0.151711994970855,0.105161833116173,0.12873500948016,0.0696743967712903,0.136278738640507,0.127683875801056,0.175860546514115,0.0758433231605069,0.118897754147873,0.0728831873225292,0.0920289730834094,0.0939346897842693,0.0802212438065607,0.161551946512117,0.128050045774338,0.177227164539965,0.117726799404872,0.122209719435541,0.224536703801288,0.111915640343333,0.254241136638335,0.159015677820128,0.188476378872327,0.157794616380197,0.104886467456562,0.148592915811422,0.150925084674442,0.177787122997936,0.12278442037494,0.148348459776503,0.091498301632792,0.117962105137165,0.170921931692089
"chr8:0-3300",0.0744236853077231,0.0866933554207019,0.100920530744906,0.0636347094764912,0.14734340215674,0.114975756525039,0.182732916463889,0.14644677856995,0.161012080945505,0.0837368519259791,0.090754666534171,0.13147259943429,0.127013181750225,0.117743856125947,0.129020348536253,0.183145017337908,0.0987123220651059,0.0858617895019573,0.134716855624619,0.0917826616128356,0.108114818049446,0.155131195950373,0.188025326357374,0.1569031103823,0.0863602724271398,0.174560470100829,0.0396677610981995,0.0663421773719806,0.151558765151118,0.127619921415456,0.232648157965122,0.0835699579887672,0.128320963899331,0.159745214423095,0.060567251112453,0.157948058837108,0.2041588377354,0.190966870952203,0.159898367433415,0.15236640607187,0.110853080480939,0.161080503702458,0.118801537722835,0.191039531917511,0.20729895341482
"chr9:0-3300",0.232056133058562,0.169660889333711,0.162050465824776,0.215640976785656,0.134146909247618,0.175333686377334,0.245579167162567,0.261272103306168,0.192647826453452,0.103529713543261,0.165393897086136,0.196673696238186,0.231437110881296,0.0742010687752125,0.134450493778068,0.204955191662696,0.195576390829744,0.134332440307254,0.150346261393715,0.121738925214476,0.0912115293221544,0.120274610271964,0.185253500287038,0.147038283542607,0.10703211361996,0.168498419472103,0.133023857368887,0.148757130083556,0.156172727638518,0.193424861017682,0.200623090831235,0.183088046700147,0.125644392043408,0.224628986300078,0.3110889007389,0.113471757327778,0.182944908718883,0.0880146045482199,0.199364912101917,0.222179512475957,0.163936972496727,0.0961511260706202,0.181112482247173,0.211795030880988,0.213640671005242
